Total Packets	Time	Avg packet/sec	Avg packet size	Total bytes	Avg bytes/sec	RST Cnt	Src IPs	Dest IPs	Legitimate
355	102	3	738	262161	2570	1	9	9	0
357	102	3	873	311698	3055	3	8	8	0
1325	276	4	665	881995	3195	0	12	12	0
4350	2134	2	581	2530582	1185	8	5	5	0
5365	464	11	862	4625222	9968	10	12	12	0
1176	2139	0	886	1042768	487	3	6	7	0
655	93	7	838	549479	5908	3	6	7	0
141	78	1	110	15559	199	6	7	8	0
561	247	2	780	437683	1771	6	8	8	0
686	284	2	635	435791	1534	15	9	10	0
783	160	4	712	558090	3488	13	8	10	0
842	235	3	797	671273	2856	4	6	6	0
676	168	4	956	646590	3848	4	6	6	0
647	79	8	893	577874	7314	1	4	4	0
675	114	5	851	574873	5042	1	4	4	0
474	98	4	879	416773	4252	1	4	4	0
505	20	25	865	437201	21860	1	4	4	0
473	17	27	886	419339	24667	1	4	4	0
667	21	31	892	595548	28359	1	5	5	0
1337	81	16	934	1249907	15430	1	5	5	0
833	27	30	919	765911	28367	1	5	5	0
492	51	9	874	430481	8440	1	5	5	0
566	187	3	905	512673	2741	0	4	4	0
495	154	3	829	410656	2666	5	5	5	0
455	150	3	855	389266	2595	6	5	5	0
558	114	4	896	500466	4390	3	6	6	0
649	49	13	817	530724	10831	4	4	4	0
104	12	8	773	80392	6699	1	3	3	0
114	71	1	741	84529	1190	1	3	3	0
448	101	4	872	390680	3868	1	4	4	0
461	140	3	795	366643	2618	1	4	4	0
265	96	2	740	196117	2042	2	5	5	0
525	77	6	814	427867	5556	1	4	4	0
423	93	4	865	366116	3936	1	4	4	0
432	88	4	832	359815	4088	1	4	4	0
244	78	3	774	189006	2423	1	4	4	0
138	43	3	782	107938	2510	1	3	3	0
138	43	3	782	107938	2510	1	3	3	0
331	238	1	897	297157	1248	1	5	5	0
434	623	0	709	307902	494	2	5	5	0
149	125	1	736	109753	878	0	5	5	0
220	6	36	1068	235044	39174	1	3	3	0
842	235.2	3.6	797.5	671273	2854	4	6	6	0
2559	279.637	9.2	928.5	2375501	8494	4	5	5	0
4350	2134.308	2	581.5	2530582	1185	8	5	5	0
5365	464.321	11.6	862.5	4625222	9961	10	12	12	0
303	79.248	3.8	890.5	269954	3406	0	3	3	0
357	102.182	3.5	873.5	311698	3050	3	8	8	0
308	73.489	4.2	906.5	279150	3798	2	5	5	0
405	160.546	2.5	821.5	332687	2072	2	9	9	0
783	160.361	4.9	712.5	558090	3480	13	8	10	0
2461	90.123	27.3	853.5	2100060	23000	0	3	3	0
394	217.593	1.8	755.5	297832	1368	2	3	3	0
355	101.919	3.5	738.5	262161	2572	1	9	9	0
276	93.807	2.9	820.5	226337	2412	1	4	4	0
30	134	0	58	1764	13	6	4	4	1
599	70	8	829	496644	7094	4	4	4	1
1106	21	52	904	1000559	47645	2	6	6	1
1404	31	45	926	1300505	41951	2	10	10	1
1663	36	46	934	1553911	43164	8	11	10	1
6110	23	265	999	6106168	265485	2	9	10	1
3267	46	71	902	2949802	64126	6	15	15	1
2244	17	132	980	2201247	129485	0	6	6	1
2390	11	217	936	2239379	203579	7	11	11	1
1605	38	42	829	1330750	35019	2	13	13	1
1605	38	42	829	1330750	35019	2	13	13	1
9601	6	1600	919	8828952	1471492	0	6	6	1
1123	34	33	924	1037942	30527	2	12	12	1
2016	19	106	927	1869132	98375	4	11	11	1
2058	15	137	953	1963145	130876	0	12	12	1
5644	11	513	981	5542131	503830	0	6	6	1
842	235.2	3.6	797.5	671273	2854	4	6	6	0
2559	279.637	9.2	928.5	2375501	8494	4	5	5	0
4350	2134.308	2	581.5	2530582	1185	8	5	5	0
5365	464.321	11.6	862.5	4625222	9961	10	12	12	0
303	79.248	3.8	890.5	269954	3406	0	3	3	0
357	102.182	3.5	873.5	311698	3050	3	8	8	0
308	73.489	4.2	906.5	279150	3798	2	5	5	0
405	160.546	2.5	821.5	332687	2072	2	9	9	0
783	160.361	4.9	712.5	558090	3480	13	8	10	0
2461	90.123	27.3	853.5	2100060	23000	0	3	3	0
394	217.593	1.8	755.5	297832	1368	2	3	3	0
355	101.919	3.5	738.5	262161	2572	1	9	9	0
276	93.807	2.9	820.5	226337	2412	1	4	4	0
32633	124.542	262.024	959.714	31318347	251468.115	0	17	17	1
566	106.02	5.228	583.378	330192	3114.282	7	12	12	1
292	177.211	1.648	152.935	44657	251.999	1	11	11	1
49	93.644	0.523	253.939	12443	132.875	0	5	5	1
29	230.66	0.126	145.276	4213	18.265	0	4	4	1
176	39.93	4.408	186.028	32741	819.961	1	8	8	1
1576	32.758	48.111	753.487	1187495	36250.999	18	13	13	1
353	772.378	0.457	220122	77703	100.602	1	15	15	1
201	49.045	4.098	186.682	37523	765.077	0	7	7	1
34	191.379	0.178	159.647	5428	28.363	1	3	3	1
221	374.143	0.591	342.059	75595	202.048	2	8	8	1
160	225.462	0.71	175.887	28142	124.819	1	6	6	1
1681	551.689	3.047	753.029	1265842	2294.486	11	13	13	1
1415	454.523	3.113	772.71	1093385	2405.567	0	12	12	1
7649	108	70	926	7088897	65637	2	3	5	1
4014	25	160	927	3721165	148846	0	3	4	1
1398	52	26	810	1132644	21781	11	6	7	1
2879	142	20	855	2463334	17347	9	8	8	1
2768	51	54	893	2473301	48496	8	4	5	1
2390	111	21	750	1792984	16153	16	7	9	1
689	57	12	769	530131	9300	10	5	7	1
34	297	0	190	6479	21	0	4	4	1
65	135	0	198	12876	95	6	7	7	1
1250	490	2	781	976383	1992	1	9	9	1
2504	447	5	753	1886561	4220	2	26	25	1
1539	54	28	645	992776	18384	2	33	31	1
2857	15	190	911	2602733	173515	5	12	13	1
487	28	17	409	199326	7118	21	22	22	1
931	12	77	524	488091	40674	6	24	24	1
357	21	17	387	138291	6585	0	29	28	1
193	17	11	566	109272	6427	9	16	17	1
528	18	29	472	249330	13851	3	23	23	1
305	32	9	310	94679	2958	3	25	25	1
172	123	1	65	11232	91	23	21	21	1
60	198	0	115	6938	35	2	7	7	1
152	236	0	252	38310	162	0	7	7	1
1251	245	5	524	655701	2676	3	33	32	1
1241	34	36	531	659914	19409	2	20	20	1
2002	19	105	904	1810576	95293	1	10	10	1
127	32	3	103	13149	410	9	24	25	1
798	6	133	740	590785	98464	6	25	26	1
261	43	6	253	66072	1536	13	26	26	1
106	216	0	57	6104	28	8	20	20	1
1674	65	25	917	1535281	23619	6	3	4	1
1048	69	15	943	988780	14330	0	4	5	1
1314	49	26	943	1240228	25310	3	2	3	1
1331	15	88	869	1157075	77138	0	3	3	1
976	221	4	822	802934	3633	6	6	4	1
2968	16	185	962	2855392	178462	1	4	4	1
1635	186	8	912	1492136	8022	0	7	7	1
202	28	7	721	145804	5207	4	8	8	1
355	70	5	890	316236	4517	4	4	4	0
303	2	151	1040	315357	157678	1	2	2	0
281	9	31	1012	284553	31617	1	2	2	0
338	2	169	965	326460	163230	1	2	2	0
228	3	76	1020	232579	77526	1	2	2	0
2430	19	127	163	396740	20881	1	3	1091	0
290	30	9	839	243528	8117	2	4	4	0
2452	115	21	196	481285	4185	2	3	1091	0
233	340	0	863	201256	591	3	5	5	0
312	1	312	1046	326620	326620	1	2	2	0
239	2	119	1072	256274	128137	1	2	2	0
319	2	159	1037	330872	165436	1	2	2	0
87	123	0	898	78178	635	1	2	2	0
322	2	161	1032	332567	166283	1	2	2	0
100	18	5	924	92475	5137	0	2	2	0
1904	80	23	442	842716	10533	2	4	1092	0
100	18	5	924	92475	5137	0	2	2	0
414	16	25	1026	424844	26552	1	2	2	0
276	95	2	874	241324	2540	2	4	4	0
311	2	155	1059	329361	164680	1	2	2	0
251	2	125	1028	258155	129077	1	2	2	0
235	178	1	811	190634	1070	1	4	4	0
341	176	1	878	299653	1702	2	4	4	0
278	119	2	892	248040	2084	0	4	4	0
278	119	2	892	248040	2084	0	4	4	0
301	114	2	854	257127	2255	2	4	4	0
1538	374	4	314	484410	1295	2	4	1092	0
1538	374	4	314	484410	1295	2	4	1092	0
295	262	1	832	245544	937	2	5	5	0
2437	138	17	161	392819	2846	2	3	1091	0
476	33	14	754	359125	10882	0	4	4	0
324	208	1	845	273806	1316	1	4	4	0
276	179	1	771	212964	1189	1	5	5	0
287	155	1	841	241375	1557	0	4	4	0
241	169	1	843	203239	1202	0	5	5	0
45	6	7	859	38680	6446	0	2	2	0
361	313	1	896	323587	1033	0	5	5	0
2419	82	29	166	401781	4899	2	3	1091	0
292	99	2	765	223558	2258	0	4	4	0
240	150	1	790	189712	1264	1	5	5	0
269	355	0	779	209782	590	0	5	5	0
487	540	0	961	468125	866	4	4	4	0
2430	30	81	159	387994	12933	2	3	1091	0
209	256	0	887	185570	724	0	5	5	0
220	208	1	859	189121	909	0	4	4	0
209	240	0	796	166560	694	0	5	5	0
258	223	1	820	211684	949	0	5	5	0
257	107	2	797	205066	1916	0	5	5	0
2421	21	115	161	390939	18616	1	3	1091	0
114	85	1	962	109699	1290	0	2	2	0
272	506	0	785	213788	422	0	5	5	0
339	2	169	948	321424	160712	1	2	2	0
235	3	78	1063	249853	83284	1	3	3	0
1338	94	14	235	314896	3349	2	4	1070	0
1425	440	3	262	374527	851	1	4	1090	0
260	165	1	805	209547	1269	0	5	5	0
227	4	56	1098	249366	62341	1	3	3	0
272	331	0	727	197770	597	1	5	5	0
240	62	3	840	201629	3252	2	5	5	0
426	532	0	898	382670	719	0	5	5	0
251	3	83	1050	263751	87917	1	3	3	0
201	2	100	1116	224385	112192	1	2	2	0
296	4	74	848	251038	62759	1	3	3	0
211	4	52	1118	235945	58986	1	3	3	0
340	200.028	1.7	137.862	46873	234.332	3	10	13	1
182	167.225	1.088	142.956	26018	155.587	7	7	7	1
248	3	82	1030	255447	85149	1	3	3	0
245	3	81	1031	252762	84254	1	3	3	0
227	4	56	1044	237116	59279	1	3	3	0
273	100	2	869	237492	2374	2	4	4	0
2815	71	39	277	780316	10990	3	4	1092	0
2640	144	18	214	565681	3928	1	4	1092	0
1288	77	16	860	1108608	14397	3	9	9	0
993	79	12	906	900399	11397	3	8	8	0
1310	73	17	919	1204922	16505	3	6	6	0
330	80	4	867	286295	3578	0	3	3	0
96	112	0	489	47019	419	0	3	3	0
1091	313	3	548	598792	1913	148	136	262	0
292	5	58	965	281903	56380	1	3	3	0
2474	95	26	186	461919	4862	1	4	1092	0
788	104	7	821	647215	6223	11	9	41	0
157	2	78	958	150467	75233	1	2	2	0
2517	26	96	190	480334	18474	1	4	1092	0
196	3	65	721	141340	47113	1	2	2	0
2807	32	87	255	716091	22377	2	4	1092	0
2500	25	100	174	436498	17459	1	4	1092	0
2547	103	24	186	476172	4623	1	4	1092	0
211	325	0	330	69673	214	11	7	7	1
2016	60	33	930	1875923	31265	0	7	7	1
1627	605	2	631	1027940	1699	2	16	16	1
