Source	Destination	Protocol	Length	Time to live	Header Checksum	Header Length	Source Port	Destination Port	Legitimate
692942454	3232266939	6	450	54	56544	20	80	49369	0
3232266939	692942454	6	60	128	61673	20	49369	80	0
3232266939	692942454	6	60	128	61672	20	49369	80	0
3232266939	692942454	6	420	128	61305	20	49369	80	0
692942454	3232266939	6	1423	54	33702	20	80	49368	0
3232266939	692942454	6	60	128	61668	20	49368	80	0
692942454	3232266939	6	1423	54	33701	20	80	49368	0
3232266939	692942454	6	60	128	61667	20	49368	80	0
692942454	3232266939	6	1423	54	33700	20	80	49368	0
692942454	3232266939	6	1423	54	33699	20	80	49368	0
3232266939	692942454	6	60	128	61666	20	49368	80	0
692942454	3232266939	6	1423	54	33698	20	80	49368	0
3232266939	692942454	6	60	128	61665	20	49368	80	0
692942454	3232266939	6	1423	54	33697	20	80	49368	0
3232266939	692942454	6	60	128	61664	20	49368	80	0
3232266939	692942454	6	60	128	61663	20	49368	80	0
692942454	3232266939	6	1423	54	33696	20	80	49368	0
692942454	3232266939	6	1423	54	33695	20	80	49368	0
3232266939	692942454	6	60	128	61662	20	49368	80	0
3232266939	692942454	6	60	128	61661	20	49368	80	0
692942454	3232266939	6	1423	54	33694	20	80	49368	0
3232266939	692942454	6	60	128	61660	20	49368	80	0
692942454	3232266939	6	1423	54	33693	20	80	49368	0
3232266939	692942454	6	60	128	61659	20	49368	80	0
692942454	3232266939	6	1423	54	33692	20	80	49368	0
3232266939	692942454	6	60	128	61658	20	49368	80	0
692942454	3232266939	6	1423	54	33691	20	80	49368	0
3232266939	692942454	6	60	128	61657	20	49368	80	0
692942454	3232266939	6	1423	54	33690	20	80	49368	0
692942454	3232266939	6	1423	54	33689	20	80	49368	0
692942454	3232266939	6	1423	54	33688	20	80	49368	0
3232266939	692942454	6	60	128	61656	20	49368	80	0
692942454	3232266939	6	1423	54	33687	20	80	49368	0
3232266939	692942454	6	60	128	61655	20	49368	80	0
692942454	3232266939	6	1423	54	33686	20	80	49368	0
3232266939	692942454	6	60	128	61654	20	49368	80	0
692942454	3232266939	6	1423	54	33685	20	80	49368	0
3232266939	692942454	6	60	128	61653	20	49368	80	0
692942454	3232266939	6	1423	54	33684	20	80	49368	0
692942454	3232266939	6	1423	54	33683	20	80	49368	0
692942454	3232266939	6	1423	54	33682	20	80	49368	0
692942454	3232266939	6	1423	54	33681	20	80	49368	0
692942454	3232266939	6	1423	54	33680	20	80	49368	0
3232266939	692942454	6	60	128	61652	20	49368	80	0
3232266939	692942454	6	60	128	61651	20	49368	80	0
692942454	3232266939	6	1423	54	33679	20	80	49368	0
3232266939	692942454	6	60	128	61650	20	49368	80	0
3232266939	692942454	6	60	128	61649	20	49368	80	0
